fid;code_offic;nom_offici;arbo_prc;arbo_za;arbo_epza;arbo_zu;arbo_epzu;arbu_prc;arbu_za;arbu_epza;arbu_zu;arbu_epzu;herb_prc;herb_za;herb_epza;herb_zu;herb_epzu;tot_arbo;tot_arbu;tot_herb;prct_arbo;prct_arbu;prct_herb;tot_arboru_pub_za;tot_arboru_pub_zu;tot_arboru_pv_za;tot_arboru_pv_zu;tot_arboru_parcs;prct_arboru_pub_za;prct_arboru_pub_zu;prct_arboru_pv_za;prct_arboru_pv_zu;prct_arboru_parcs;s_veg_tot;prct_veg_tot;s_arboru;prct_arboru;prct_hors_tt;co2_pi_ok;es_25_ok;es25_ok;cos_avg_ok;txrboru_ok;co2_pi;es25_pi;pot_ss_oc_dp;pot_df;pot_df_plhg_cms;pot_ext;cos_avg;txarboru_avg
5;13114;Ventabren;0.29;4.39;0.61;43.91;2.23;0.15;0.78;0.05;26.18;0.65;0.05;4.39;0.29;33.49;1.24;48.59;27.11;37.93;25.450021442544223;14.199425423078281;19.866625093963826;0.66;2.88;4.51;67.21;0.44;0.87;3.8;5.96;88.78;0.58;113.63;59.47;75.7;39.62;40.48392804041367;2.07;2022;2022;0.3;38;2.0744132894850713;2022.1920711380355;1530;0;192;0;0.2971748878923767;37.565174887892375
94;13082;Rognes;2.65;4.57;0.06;12;1.15;0.3;0.66;0;7.81;0.34;0.06;2.17;0.03;9.13;0.35;19.22;8.77;11.36;22.64674646501492;10.333609078989639;13.38538188566959;0.06;1.49;5.17;18.32;2.95;0.21;5.32;18.47;65.45;10.54;39.35;46.34;27.99;32.96;53.63426257032585;2.33;2149;2149;0.7;21;2.3294574085594766;2149.1679176230828;621;23;238;12;0.7306307692307693;20.716338461538466
16;13203;Marseille 3e Arrondissement;2.48;3.93;0.42;17.08;4.54;0.78;1.93;0.08;7.92;1.36;1.5;3.21;0.18;13.85;3.82;23.49;10.63;18.56;9.240357851784141;4.181566792867835;7.301023487829444;0.5;5.9;5.36;19.1;3.26;1.47;17.29;15.71;55.98;9.55;52.68;20.7;34.12;13.41;79.2770518675186;0.88;968;968;1.7;9;0.8789259690966886;967.7590279982317;202;5217;423;0;1.6923608903020662;8.940528616852149
22;13119;Carnoux-en-Provence;1.71;3.66;0.16;40.95;3.28;0.74;2.17;0.06;34.16;1.35;0.97;3.86;0.06;24.45;1.04;46.32;37.07;29.28;18.628629523181754;14.908534033340839;11.775610372166707;0.22;4.63;5.61;70.48;2.45;0.26;5.55;6.73;84.52;2.94;112.67;45.26;83.39;33.49;54.687226071310704;1.73;1641;1641;0.2;38;1.7334738077769625;1640.9311571533383;1404;26;0;0;0.20465294117647065;37.66579411764706
15;13049;Lamanon;1.12;4.15;0.52;15.19;1.19;0.17;2.22;0.19;10.13;0.43;0.01;2.56;0.15;10.32;0.48;20.46;12.52;12.89;16.164045333736414;9.891194896304004;10.183506566562189;0.71;1.62;5.66;23.7;1.29;2.15;4.91;17.16;71.86;3.91;45.87;36.22;32.98;26.04;63.76125320339738;2.26;2139;2139;0.3;22;2.2591624285714285;2139.278936077482;467;0;0;26;0.3275415282392025;22.048604651162783
31;13110;Trets;0.6;3.81;0.41;42.38;2.54;0.45;2.42;0.09;36.08;0.87;1.12;11.49;0.45;69.24;1.79;46.79;38.95;81.85;12.638907119013693;10.521167606018025;22.10930856360912;0.5;3.41;5.73;75.05;1.05;0.58;3.98;6.68;87.53;1.22;167.59;45.23;85.74;23.14;54.73061671135916;2.33;2032;2032;0.5;23;2.3268547171207845;2031.7271249479577;1833;107;1050;156;0.5427031019202365;23.20579025110782
80;13070;La Penne-sur-Huveaune;0.99;5.95;2.02;29.69;1.83;0.33;2.84;0.91;23.6;0.99;0.73;6.38;1.69;21.03;0.73;36.63;26.77;28.14;19.30290155834892;14.10697992675404;14.828928469886392;2.93;2.82;5.86;50.47;1.32;4.62;4.45;9.24;79.61;2.08;91.54;48.18;63.4;33.37;51.76119004501065;1.52;1519;1519;0.3;36;1.5234683754575562;1519.4340845389577;1007;423;77;0;0.3123662551440329;35.916316872427984
39;13031;La Destrousse;0.03;4.23;0.58;23.04;1.54;0.01;2.35;0.12;16.86;0.49;0.02;5.7;0.25;18.1;0.7;27.3;19.22;23.82;18.582475500862593;13.082607294013885;16.21372038207132;0.7;2.03;5.88;37.87;0.04;1.5;4.36;12.64;81.41;0.09;70.34;47.83;46.52;31.63;52.121196823052195;2.11;1945;1945;0.3;32;2.1072356076848116;1945.089637198942;847;96;64;0;0.2832169312169311;32.34601058201057
51;13033;Ensuès-la-Redonne;2.16;8.08;4.22;42.24;3.18;0.62;4.84;2.64;27.1;1.42;0.56;6.59;2.89;24.97;1.18;52.48;32.56;32.12;17.928120021574923;11.123086659727125;10.972774677838919;6.86;4.6;6.06;64.74;2.78;8.07;5.41;7.13;76.13;3.27;117.16;39.98;85.04;29.02;59.97601864085903;2.48;2297;2297;0.3;29;2.483388752258764;2297.255747741236;1488;0;41;0;0.27865163368614815;28.607768062586285
82;13205;Marseille 5e Arrondissement;0.39;4.32;0.03;17.22;5.72;0.08;2;0.01;5.47;0.5;0.19;3.53;0.01;12.98;3.48;21.93;7.55;16.7;10.001546781306184;3.443304979428258;7.61631697436449;0.04;6.22;6.28;16.47;0.47;0.14;21.1;21.3;55.87;1.59;46.18;21.04;29.48;13.43;78.93883126490107;1.18;1197;1197;1.9;10;1.1847913108764656;1196.7547268251603;584;1801;216;0;1.9357856399583766;10.03311134235172
